Sample,Weight,Density Weight,Length,Width_top,Width_middle,Width_bottom,Dish_weight,Fresh_weight,Dry_weight,Water_content
1,44.3,43.7,128,22.02,19.48,15.7,19.35,3.73,4.64,0.952971576
2,114,113.6,224,27.05,23.52,17.48,30.01,3.77,5.07,0.956681106
3,68.2,67.6,178,31.63,24.75,21.38,22.36,3.73,4.74,0.954830054
4,40.1,39.7,131,23.37,17.16,16.77,15.06,3.72,4.43,0.952855246
5,56.9,56.4,148,24.03,20.61,20.22,23.92,3.72,4.64,0.961538462
6,182.6,182.1,253,34.52,31.77,26.56,42.3,3.72,5.61,0.955319149
7,87.5,87.1,203,25.54,22.27,20.2,27.09,3.77,5.05,0.952750092
8,48.5,48.2,172,23.6,17.7,15.67,14.54,3.73,4.43,0.951856946
9,90.7,90.4,201,27.76,24.8,19.83,28.2,3.69,4.96,0.954964539
10,93.8,93.1,208,28.08,25.04,20.45,29.13,3.73,4.95,0.958118778
11,120,119.6,221,29.14,27.24,22.83,34.39,3.89,5.59,0.950567025
12,128.7,128.2,217,31.86,29.08,22.42,34.2,3.88,5.27,0.959356725
